reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,tokens,tokens_stopword_rm,tokens_stemmed,clean_text,raw_polarity,raw_subjectivity,clean_polarity,clean_subjectivity,sentiment_polarity,sentiment_subjective,wordCount,uppercaseCharCount,specialCharCount,sentiment_rating
78c416e3-9ba3-4a19-95d7-414fe40b0c4d,Na************la,https://play-lh.googleusercontent.com/a-/ALV-UjVVEqYFY6NRmBTzU577h8-isjlDt4NPCXSrrngAtts7qnASFT-8,hopefully there will be more routes in malang esp ke arah singosari,4,0,1.2.9,2025-12-28 00:06:49,,,1.2.9,"['hopefully', 'there', 'will', 'be', 'more', 'routes', 'in', 'malang', 'esp', 'ke', 'arah', 'singosari']","['hopefully', 'routes', 'malang', 'esp', 'arah', 'singosari']","['hopefully', 'there', 'will', 'be', 'more', 'route', 'in', 'malang', 'esp', 'ke', 'arah', 'singosari']",hopefully there will be more route in malang esp ke arah singosari,0.5,0.5,0.5,0.5,0.5,0.5,12,0,0,Positive
9c43d2ae-31a7-48d3-a669-5351f751d0b3,M.*********************ni,https://play-lh.googleusercontent.com/a-/ALV-UjWRLvObeXVOebCJXdsTdnfI-04_K2YAJKk-QIHgDK7765JHyK5-RQ,"gabisa login google di versi terbarunya di redmi note 14 pro, loading doang ga muncul pop up buat milih akun login nya",1,0,1.2.9,2025-12-21 22:45:47,,,1.2.9,"['gabisa', 'login', 'google', 'di', 'versi', 'terbarunya', 'di', 'redmi', 'note', '14', 'pro,', 'loading', 'doang', 'ga', 'muncul', 'pop', 'up', 'buat', 'milih', 'akun', 'login', 'nya']","['gabisa', 'login', 'google', 'versi', 'terbarunya', 'redmi', 'note', '14', 'pro,', 'loading', 'doang', 'ga', 'muncul', 'pop', 'buat', 'milih', 'akun', 'login', 'nya']","['gabisa', 'login', 'google', 'di', 'versi', 'terbarunya', 'di', 'redmi', 'note', '14', 'pro,', 'loading', 'doang', 'ga', 'muncul', 'pop', 'up', 'buat', 'milih', 'akun', 'login', 'nya']","gabisa login google di versi terbarunya di redmi note 14 pro, loading doang ga muncul pop up buat milih akun login nya",0.0,0.0,0.0,0.0,0.0,0.0,22,0,1,Negative
ac12fd97-5849-4af7-a4eb-033ae7f2673a,Ro*********ah,https://play-lh.googleusercontent.com/a-/ALV-UjXcTvf_Xdns6LpBG50IC3Mo6AYTt7wQC-2CdAyJtwJawnBH_UtW,"gps-nya kadang sering ga akurat, adminnya responsive meskipun lama balesnya. tapi secara general, apps ini membantu bgt sih. semoga tj luxury koridor 4 segera beroprasi, aaamiiin...",5,0,1.2.7,2025-12-18 12:17:32,,,1.2.7,"['gps-nya', 'kadang', 'sering', 'ga', 'akurat,', 'adminnya', 'responsive', 'meskipun', 'lama', 'balesnya.', 'tapi', 'secara', 'general,', 'apps', 'ini', 'membantu', 'bgt', 'sih.', 'semoga', 'tj', 'luxury', 'koridor', '4', 'segera', 'beroprasi,', 'aaamiiin...']","['gps-nya', 'kadang', 'sering', 'ga', 'akurat,', 'adminnya', 'responsive', 'meskipun', 'lama', 'balesnya.', 'general,', 'apps', 'membantu', 'bgt', 'sih.', 'semoga', 'tj', 'luxury', 'koridor', '4', 'segera', 'beroprasi,', 'aaamiiin...']","['gps-nya', 'kadang', 'sering', 'ga', 'akurat,', 'adminnya', 'responsive', 'meskipun', 'lama', 'balesnya.', 'tapi', 'secara', 'general,', 'apps', 'ini', 'membantu', 'bgt', 'sih.', 'semoga', 'tj', 'luxury', 'koridor', '4', 'segera', 'beroprasi,', 'aaamiiin...']","gps-nya kadang sering ga akurat, adminnya responsive meskipun lama balesnya. tapi secara general, apps ini membantu bgt sih. semoga tj luxury koridor 4 segera beroprasi, aaamiiin...",0.05000000000000002,0.5,0.05000000000000002,0.5,0.05000000000000002,0.5,26,0,9,Positive
7392326f-7453-4142-bcaf-c76eafc72fd9,Fa*********dh,https://play-lh.googleusercontent.com/a-/ALV-UjVq-VkAIUJ3Mf0IrCG-OBpxDn3qEUXfq5NexT-DEUfwdcZxLRvJ,"gabisa login aplikasi, loading terus",1,0,1.2.8,2025-12-16 00:54:00,"Halo kak,Setelah kami lakukan pengecekan kondisi aplikasi tetap normal. Dapat dilakukan refresh pada aplikasi jika terkendala log in. TJ02",2025-11-24 08:08:53,1.2.8,"['gabisa', 'login', 'aplikasi,', 'loading', 'terus']","['gabisa', 'login', 'aplikasi,', 'loading', 'terus']","['gabisa', 'login', 'aplikasi,', 'loading', 'terus']","gabisa login aplikasi, loading terus",0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,Negative
f27806d1-6920-4b29-9b28-818e2aa99c37,Gi**********di,https://play-lh.googleusercontent.com/a-/ALV-UjXnOiy5n3TXhuwbU9yvbWLeuZmbue2w3cQMIeCz78XIXPYzT3X6,bobrok ga bisa login,1,0,,2025-12-11 05:45:00,,,,"['bobrok', 'ga', 'bisa', 'login']","['bobrok', 'ga', 'login']","['bobrok', 'ga', 'bisa', 'login']",bobrok ga bisa login,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,Negative
02776939-8e4f-46eb-829f-d70f6feb4259,Ha*******yo,https://play-lh.googleusercontent.com/a-/ALV-UjXO82o6411UQnsz3VjG54PTpsPiJem6jRnAL0h9U-czlzFopWsj,"gak bisa login. setelah itu pasti dijawab sama akun dishub. ""halo, untuk aplikasi sudah kami cek tidak ada masalah"".",1,0,1.2.7,2025-12-09 00:24:07,,,1.2.7,"['gak', 'bisa', 'login.', 'setelah', 'itu', 'pasti', 'dijawab', 'sama', 'akun', 'dishub.', '""halo,', 'untuk', 'aplikasi', 'sudah', 'kami', 'cek', 'tidak', 'ada', 'masalah"".']","['gak', 'login.', 'dijawab', 'sama', 'akun', 'dishub.', '""halo,', 'aplikasi', 'cek', 'masalah"".']","['gak', 'bisa', 'login.', 'setelah', 'itu', 'pasti', 'dijawab', 'sama', 'akun', 'dishub.', '""halo,', 'untuk', 'aplikasi', 'sudah', 'kami', 'cek', 'tidak', 'ada', 'masalah"".']","gak bisa login. setelah itu pasti dijawab sama akun dishub. ""halo, untuk aplikasi sudah kami cek tidak ada masalah"".",0.0,0.0,0.0,0.0,0.0,0.0,19,0,6,Negative
f384d892-58cf-4a02-9396-fea0db0d0707,Mu***********ur,https://play-lh.googleusercontent.com/a-/ALV-UjWJ--7W1MXPlRTkE3Nel-VURw_WA57WUo0ilOKvuuF8bk8lPJ0,ga bisa login terus!! selalu pop up notif request cancelled by transjatim!! device xiaomi 14t. solusinya dev!!,1,0,,2025-12-05 22:01:34,"Halo kak,Setelah kami lakukan pengecekan kondisi aplikasi tetap normal. Dapat dilakukan refresh pada aplikasi jika terkendala log in. TJ02",2025-12-08 01:20:09,,"['ga', 'bisa', 'login', 'terus!!', 'selalu', 'pop', 'up', 'notif', 'request', 'cancelled', 'by', 'transjatim!!', 'device', 'xiaomi', '14t.', 'solusinya', 'dev!!']","['ga', 'login', 'terus!!', 'selalu', 'pop', 'notif', 'request', 'cancelled', 'transjatim!!', 'device', 'xiaomi', '14t.', 'solusinya', 'dev!!']","['ga', 'bisa', 'login', 'terus!!', 'selalu', 'pop', 'up', 'notif', 'request', 'cancelled', 'by', 'transjatim!!', 'device', 'xiaomi', '14t.', 'solusinya', 'dev!!']",ga bisa login terus!! selalu pop up notif request cancelled by transjatim!! device xiaomi 14t. solusinya dev!!,0.0,0.0,0.0,0.0,0.0,0.0,17,0,7,Negative
510a8c8c-1546-4318-9550-7fb7cbfc843a,Pu**********an,https://play-lh.googleusercontent.com/a/ACg8ocLPUO-TJd3yuZ69VR_Enfewto_22ROC5AliCRFOJc3l_iXZmA=mo,"sign in bermasalah, sudah add account gmail, dan tidak ada muncul accaount gmail yang sudah didaftar di hp",1,0,,2025-12-04 04:59:30,"Halo kak,Setelah kami lakukan pengecekan kondisi aplikasi tetap normal. Dapat dilakukan refresh pada aplikasi jika terkendala log in. TJ02
",2025-12-08 01:18:04,,"['sign', 'in', 'bermasalah,', 'sudah', 'add', 'account', 'gmail,', 'dan', 'tidak', 'ada', 'muncul', 'accaount', 'gmail', 'yang', 'sudah', 'didaftar', 'di', 'hp']","['sign', 'bermasalah,', 'add', 'account', 'gmail,', 'muncul', 'accaount', 'gmail', 'didaftar', 'hp']","['sign', 'in', 'bermasalah,', 'sudah', 'add', 'account', 'gmail,', 'dan', 'tidak', 'ada', 'muncul', 'accaount', 'gmail', 'yang', 'sudah', 'didaftar', 'di', 'hp']","sign in bermasalah, sudah add account gmail, dan tidak ada muncul accaount gmail yang sudah didaftar di hp",0.0,0.0,0.0,0.0,0.0,0.0,18,0,2,Negative
362f36e3-502c-4dfc-8fd6-861e69e1704f,Pr****HT,https://play-lh.googleusercontent.com/a-/ALV-UjWRLRv6DMtuMNldDx6Xn40fsLBI_2LZnrj3EC3Di8fxiGFGyfE,mantap. namun perlu dikaji untuk penambahan halte di beberapa tempat yang banyak penduduk,5,1,1.2.7,2025-11-28 11:58:09,"Halo kak, terima kasih atas apresiasi dan support yang diberikan. Evaluasi terkait titik pemberhentian guna memudahkan akses pnp yang ingin menggunakan layanan Transjatim. Update informasi dapat di check melalui semua app Transjatim Ajaib. TJ02
",2025-12-08 01:03:53,1.2.7,"['mantap.', 'namun', 'perlu', 'dikaji', 'untuk', 'penambahan', 'halte', 'di', 'beberapa', 'tempat', 'yang', 'banyak', 'penduduk']","['mantap.', 'perlu', 'dikaji', 'penambahan', 'halte', 'beberapa', 'tempat', 'banyak', 'penduduk']","['mantap.', 'namun', 'perlu', 'dikaji', 'untuk', 'penambahan', 'halte', 'di', 'beberapa', 'tempat', 'yang', 'banyak', 'penduduk']",mantap. namun perlu dikaji untuk penambahan halte di beberapa tempat yang banyak penduduk,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,Positive
8dfed06b-41de-4ed4-b977-ac9beecdb6cb,he*********ni,https://play-lh.googleusercontent.com/a/ACg8ocJBwH4B3TE6SiaWy9zba18cNeWXH-diJbgOwU3ebk5LYGKRtg=mo,mau log in pakai email gabisa terus.,1,0,1.2.7,2025-11-27 13:43:22,"Halo kak,Setelah kami lakukan pengecekan kondisi aplikasi tetap normal. Dapat dilakukan refresh pada aplikasi jika terkendala log in. TJ02",2025-12-01 01:09:20,1.2.7,"['mau', 'log', 'in', 'pakai', 'email', 'gabisa', 'terus.']","['mau', 'log', 'pakai', 'email', 'gabisa', 'terus.']","['mau', 'log', 'in', 'pakai', 'email', 'gabisa', 'terus.']",mau log in pakai email gabisa terus.,0.0,0.0,0.0,0.0,0.0,0.0,7,0,1,Negative
